verb_latin,frequency
je,488
su,158
nije,58
bi,40
sam,38
bilo,32
će,24
bio,20
može,20
bila,18
Vidim,18
ima,16
nema,14
biti,14
živi,12
dolazi,12
treba,12
govorio,10
žive,10
si,10
radi,10
zna,10
vidi,10
bili,9
Bio,8
rekao,8
nisu,8
moglo,8
neće,8
vidim,8
smo,8
mislim,6
prekvalifikujem,6
Primetio,6
suuvek,6
raspoloženi,6
ide,6
tražim,6
Ima,6
voleo,6
raste,6
misle,6
vratiti,6
imala,6
vodi,6
živeo,6
snađe,6
kupi,6
vrši,6
izgleda,6
pita,6
Bilo,6
lupa,6
proteže,6
stvaraju,6
mora,6
prestaju,6
nećemo,6
Nije,5
rečeno,5
čekali,5
Ostadoh,4
Sretnem,4
služio,4
mislio,4
mogu,4
pitao,4
živela,4
sijala,4
svetlucale,4
čuvaju,4
diše,4
sedi,4
navikao,4
misleći,4
neću,4
živite,4
ću,4
ćemo,4
spava,4
radio,4
imao,4
morao,4
pio,4
Bila,4
izašao,4
živeli,4
Može,4
videti,4
bude,4
našla,4
nosili,4
osećamo,4
zovu,4
Preveo,4
želi,4
smiraju,4
pojaviše,4
beše,4
postoji,4
zaboravila,4
LEŽI,4
NEĆE,4
OTVORITI,4
JE,4
morati,4
umre,4
pročita,4
predlaže,4
došao,4
nose,4
dolaze,4
bile,4
ući,4
diže,4
dao,4
vide,4
širi,4
gubi,4
rade,4
prolaze,4
čuju,4
izbija,4
igra,4
pamti,4
idu,4
potrza,4
dođe,4
moli,4
govore,4
načinio,4
pretvara,4
čini,4
Setio,4
išla,4
druže,4
počnu,4
imati,4
počinjemo,4
zapaliti,4
krije,3
Stigla,3
pobijali,3
kolje,3
zatezali,3
sakupljala,3
brisao,3
uvrtao,3
preplašeno,3
ćuteći,3
stajali,3
Zapiši,2
kažem,2
ranjen,2
zaceljivao,2
prekaljen,2
razbacao,2
gubeći,2
zarđalo,2
nosilo,2
čuvajući,2
Govorio,2
rađale,2
pogrešio,2
pijuckao,2
preteruje,2
vrzma,2
voziti,2
sreće,2
ste,2
ćutao,2
davala,2
davale,2
napuštala,2
brojala,2
delila,2
predala,2
prestala,2
ispunjena,2
rasla,2
spustila,2
udahnula,2
rasula,2
rasejava,2
promenila,2
razlikovati,2
dogodilo,2
prisnilo,2
sežu,2
opstaje,2
raslo,2
osvetljeno,2
ležao,2
drhtala,2
postajalo,2
živelo,2
hranjeno,2
duva,2
zamišlja,2
žele,2
pripada,2
pretvarao,2
pogodio,2
naredila,2
ode,2
tražio,2
jede,2
uvredio,2
naljutio,2
doći,2
pomrete,2
ostanem,2
umorila,2
rekla,2
ćeš,2
uvrediti,2
plakatn,2
odlazila,2
otišao,2
vratio,2
očekivala,2
ostao,2
Odlazeći,2
naređivala,2
zapali,2
prikupi,2
nosile,2
ulazi,2
tuče,2
ruča,2
nahraniti,2
Nemoj,2
raspekmeziti,2
govorila,2
dođi,2
bojim,2
bojiš,2
Dosadio,2
probudi,2
pojede,2
pridrema,2
spavaj,2
naspavao,2
Neću,2
